xflr5 v6.54

Plane name :        451 Baseline - 63415
Polar name :        T1-280.0 kt-VLM2
Freestream speed : 280.000 kt


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.134010   0.001957   0.007626   0.009583   0.000000   0.000000   0.074185  -0.000000  -0.000000  144.0443     7.1492
   -4.500     0.000  -0.090524   0.001368   0.007531   0.008899   0.000000  -0.000000   0.071011  -0.000000  -0.000000  144.0443     7.6584
   -4.000     0.000  -0.047008   0.000972   0.007426   0.008398   0.000000  -0.000000   0.067494  -0.000000  -0.000000  144.0443     9.1140
   -3.500     0.000  -0.003469   0.000771   0.007312   0.008083   0.000000  -0.000000   0.063636  -0.000000  -0.000000  144.0443    47.1520
   -3.000     0.000   0.040085   0.000764   0.007196   0.007961   0.000000  -0.000000   0.059440  -0.000000  -0.000000  144.0443     2.5278
   -2.500     0.000   0.083644   0.000953   0.007080   0.008033   0.000000  -0.000000   0.054905  -0.000000  -0.000000  144.0443     4.3781
   -2.000     0.000   0.127201   0.001336   0.006986   0.008322   0.000000  -0.000000   0.050042  -0.000000  -0.000000  144.0443     4.9611
   -1.500     0.000   0.170747   0.001915   0.006899   0.008814   0.000000  -0.000000   0.044846  -0.000000  -0.000000  144.0443     5.2467
   -1.000     0.000   0.214273   0.002689   0.006774   0.009462   0.000000  -0.000000   0.039307  -0.000000  -0.000000  144.0443     5.4164
   -0.500     0.000   0.257772   0.003657   0.006649   0.010306   0.000000  -0.000000   0.033438  -0.000000  -0.000000  144.0443     5.5291
    0.000     0.000   0.301234   0.004820   0.006535   0.011355   0.000000  -0.000000   0.027241  -0.000000  -0.000000  144.0443     5.6095
    0.500     0.000   0.344652   0.006177   0.006451   0.012628   0.000000  -0.000000   0.020725  -0.000000  -0.000000  144.0443     5.6700
    1.000     0.000   0.388017   0.007726   0.006417   0.014143   0.000000  -0.000000   0.013899  -0.000000  -0.000000  144.0443     5.7174
    1.500     0.000   0.431320   0.009467   0.006424   0.015891   0.000000  -0.000000   0.006761  -0.000000  -0.000000  144.0443     5.7557
    2.000     0.000   0.474554   0.011400   0.006444   0.017844   0.000000  -0.000000  -0.000694  -0.000000  -0.000000  144.0443     5.7874
    2.500     0.000   0.517710   0.013522   0.006488   0.020011   0.000000  -0.000000  -0.008461  -0.000000  -0.000000  144.0443     5.8143
    3.000     0.000   0.560779   0.015833   0.006562   0.022395   0.000000  -0.000000  -0.016536  -0.000000  -0.000000  144.0443     5.8376
    3.500     0.000   0.603754   0.018331   0.006686   0.025017   0.000000  -0.000000  -0.024911  -0.000000  -0.000000  144.0443     5.8580
    4.000     0.000   0.646626   0.021015   0.006867   0.027882   0.000000  -0.000000  -0.033579  -0.000000  -0.000000  144.0443     5.8763
    4.500     0.000   0.689388   0.023882   0.007101   0.030983   0.000000  -0.000000  -0.042540  -0.000000  -0.000000  144.0443     5.8928
    5.000     0.000   0.732030   0.026931   0.007379   0.034310   0.000000  -0.000000  -0.051793  -0.000000  -0.000000  144.0443     5.9079
    5.500     0.000   0.774546   0.030160   0.007650   0.037810   0.000000  -0.000000  -0.061351  -0.000000  -0.000000  144.0443     5.9219
    6.000     0.000   0.816926   0.033567   0.007916   0.041482   0.000000  -0.000000  -0.071211  -0.000000  -0.000000  144.0443     5.9350
    6.500     0.000   0.859164   0.037148   0.008180   0.045328   0.000000  -0.000000  -0.081367  -0.000000  -0.000000  144.0443     5.9473
    7.000     0.000   0.901252   0.040903   0.008439   0.049342   0.000000  -0.000000  -0.091819  -0.000000  -0.000000  144.0443     5.9591
    7.500     0.000   0.943180   0.044828   0.008695   0.053523   0.000000  -0.000000  -0.102563  -0.000000  -0.000000  144.0443     5.9704
    8.000     0.000   0.984943   0.048920   0.008953   0.057873   0.000000  -0.000000  -0.113594  -0.000000  -0.000000  144.0443     5.9813
    8.500     0.000   1.026532   0.053178   0.009205   0.062382   0.000000  -0.000000  -0.124911  -0.000000  -0.000000  144.0443     5.9919
    9.000     0.000   1.067939   0.057597   0.009452   0.067049   0.000000  -0.000000  -0.136510  -0.000000  -0.000000  144.0443     6.0022
