xflr5 v6.54

Plane name :        451 Baseline - 63415
Polar name :        T1-280.0 kt-6000ft
Freestream speed : 280.000 kt


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.134010   0.001957   0.007641   0.009598   0.000000   0.000000   0.074191  -0.000000  -0.000000  144.0443     7.1492
   -4.500     0.000  -0.090524   0.001368   0.007545   0.008913   0.000000  -0.000000   0.071017  -0.000000  -0.000000  144.0443     7.6584
   -4.000     0.000  -0.047008   0.000972   0.007438   0.008411   0.000000  -0.000000   0.067499  -0.000000  -0.000000  144.0443     9.1140
   -3.500     0.000  -0.003469   0.000771   0.007323   0.008094   0.000000  -0.000000   0.063641  -0.000000  -0.000000  144.0443    47.1520
   -3.000     0.000   0.040085   0.000764   0.007207   0.007971   0.000000  -0.000000   0.059444  -0.000000  -0.000000  144.0443     2.5278
   -2.500     0.000   0.083644   0.000953   0.007088   0.008041   0.000000  -0.000000   0.054909  -0.000000  -0.000000  144.0443     4.3781
   -2.000     0.000   0.127201   0.001336   0.006992   0.008328   0.000000  -0.000000   0.050045  -0.000000  -0.000000  144.0443     4.9611
   -1.500     0.000   0.170747   0.001915   0.006905   0.008820   0.000000  -0.000000   0.044849  -0.000000  -0.000000  144.0443     5.2467
   -1.000     0.000   0.214273   0.002689   0.006776   0.009464   0.000000  -0.000000   0.039309  -0.000000  -0.000000  144.0443     5.4164
   -0.500     0.000   0.257772   0.003657   0.006647   0.010305   0.000000  -0.000000   0.033438  -0.000000  -0.000000  144.0443     5.5291
    0.000     0.000   0.301234   0.004820   0.006530   0.011350   0.000000  -0.000000   0.027241  -0.000000  -0.000000  144.0443     5.6095
    0.500     0.000   0.344652   0.006177   0.006446   0.012623   0.000000  -0.000000   0.020724  -0.000000  -0.000000  144.0443     5.6700
    1.000     0.000   0.388017   0.007726   0.006412   0.014138   0.000000  -0.000000   0.013899  -0.000000  -0.000000  144.0443     5.7174
    1.500     0.000   0.431320   0.009467   0.006420   0.015887   0.000000  -0.000000   0.006761  -0.000000  -0.000000  144.0443     5.7557
    2.000     0.000   0.474554   0.011400   0.006439   0.017839   0.000000  -0.000000  -0.000694  -0.000000  -0.000000  144.0443     5.7874
    2.500     0.000   0.517710   0.013522   0.006483   0.020005   0.000000  -0.000000  -0.008461  -0.000000  -0.000000  144.0443     5.8143
    3.000     0.000   0.560779   0.015833   0.006555   0.022388   0.000000  -0.000000  -0.016537  -0.000000  -0.000000  144.0443     5.8376
    3.500     0.000   0.603754   0.018331   0.006676   0.025007   0.000000  -0.000000  -0.024912  -0.000000  -0.000000  144.0443     5.8580
    4.000     0.000   0.646626   0.021015   0.006857   0.027872   0.000000  -0.000000  -0.033581  -0.000000  -0.000000  144.0443     5.8763
    4.500     0.000   0.689388   0.023882   0.007093   0.030976   0.000000  -0.000000  -0.042541  -0.000000  -0.000000  144.0443     5.8928
    5.000     0.000   0.732030   0.026931   0.007376   0.034307   0.000000  -0.000000  -0.051793  -0.000000  -0.000000  144.0443     5.9079
    5.500     0.000   0.774546   0.030160   0.007650   0.037810   0.000000  -0.000000  -0.061350  -0.000000  -0.000000  144.0443     5.9219
    6.000     0.000   0.816926   0.033567   0.007919   0.041485   0.000000  -0.000000  -0.071208  -0.000000  -0.000000  144.0443     5.9350
    6.500     0.000   0.859164   0.037148   0.008186   0.045334   0.000000  -0.000000  -0.081364  -0.000000  -0.000000  144.0443     5.9473
    7.000     0.000   0.901252   0.040903   0.008448   0.049351   0.000000  -0.000000  -0.091815  -0.000000  -0.000000  144.0443     5.9591
    7.500     0.000   0.943180   0.044828   0.008707   0.053535   0.000000  -0.000000  -0.102558  -0.000000  -0.000000  144.0443     5.9704
    8.000     0.000   0.984943   0.048920   0.008967   0.057888   0.000000  -0.000000  -0.113588  -0.000000  -0.000000  144.0443     5.9813
    8.500     0.000   1.026532   0.053178   0.009222   0.062400   0.000000  -0.000000  -0.124904  -0.000000  -0.000000  144.0443     5.9919
    9.000     0.000   1.067939   0.057597   0.009472   0.067069   0.000000  -0.000000  -0.136502  -0.000000  -0.000000  144.0443     6.0022
    9.500     0.000   1.109158   0.062174   0.009720   0.071894   0.000000  -0.000000  -0.148378  -0.000000  -0.000000  144.0443     6.0123
   10.000     0.000   1.150181   0.066908   0.009962   0.076869   0.000000  -0.000000  -0.160531  -0.000000  -0.000000  144.0443     6.0224
   10.500     0.000   1.191000   0.071793   0.010201   0.081994   0.000000  -0.000000  -0.172954  -0.000000  -0.000000  144.0443     6.0323
   11.000     0.000   1.231609   0.076827   0.010438   0.087264   0.000000  -0.000000  -0.185645  -0.000000  -0.000000  144.0443     6.0421
   11.500     0.000   1.272000   0.082006   0.010682   0.092688   0.000000  -0.000000  -0.198596  -0.000000  -0.000000  144.0443     6.0519
   12.000     0.000   1.312166   0.087326   0.010934   0.098261   0.000000  -0.000000  -0.211804  -0.000000  -0.000000  144.0443     6.0617
   12.500     0.000   1.352101   0.092784   0.011198   0.103982   0.000000  -0.000000  -0.225262  -0.000000  -0.000000  144.0443     6.0715
   13.000     0.000   1.391798   0.098376   0.011473   0.109849   0.000000  -0.000000  -0.238967  -0.000000  -0.000000  144.0443     6.0813
   13.500     0.000   1.431249   0.104097   0.011755   0.115853   0.000000  -0.000000  -0.252916  -0.000000  -0.000000  144.0443     6.0912
   14.000     0.000   1.470449   0.109944   0.012047   0.121991   0.000000  -0.000000  -0.267105  -0.000000  -0.000000  144.0443     6.1012
   14.500     0.000   1.509391   0.115913   0.012383   0.128296   0.000000  -0.000000  -0.281516  -0.000000  -0.000000  144.0443     6.1112
   15.000     0.000   1.548069   0.121998   0.012815   0.134813   0.000000  -0.000000  -0.296128  -0.000000  -0.000000  144.0443     6.1213
   15.500     0.000   1.586476   0.128196   0.013364   0.141560   0.000000  -0.000000  -0.310928  -0.000000  -0.000000  144.0443     6.1315
   16.000     0.000   1.624607   0.134502   0.014090   0.148592   0.000000  -0.000000  -0.325892  -0.000000  -0.000000  144.0443     6.1418
   16.500     0.000   1.662455   0.140911   0.015072   0.155983   0.000000  -0.000000  -0.340986  -0.000000  -0.000000  144.0443     6.1522
   17.000     0.000   1.700015   0.147420   0.016382   0.163802   0.000000  -0.000000  -0.356180  -0.000000  -0.000000  144.0443     6.1627
   17.500     0.000   1.737281   0.154022   0.018440   0.172462   0.000000  -0.000000  -0.371321  -0.000000  -0.000000  144.0443     6.1734


