xflr5 v6.54

Plane name :        451 Baseline - 63415
Polar name :        T1-270.0 kt-VLM2
Freestream speed : 270.000 kt


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000  -0.134010   0.001957   0.007646   0.009603   0.000000   0.000000   0.074193  -0.000000  -0.000000  138.8999     7.1492
   -4.500     0.000  -0.090524   0.001368   0.007549   0.008917   0.000000  -0.000000   0.071018  -0.000000  -0.000000  138.8999     7.6584
   -4.000     0.000  -0.047008   0.000972   0.007442   0.008414   0.000000  -0.000000   0.067501  -0.000000  -0.000000  138.8999     9.1140
   -3.500     0.000  -0.003469   0.000771   0.007327   0.008098   0.000000  -0.000000   0.063642  -0.000000  -0.000000  138.8999    47.1520
   -3.000     0.000   0.040085   0.000764   0.007210   0.007975   0.000000  -0.000000   0.059445  -0.000000  -0.000000  138.8999     2.5278
   -2.500     0.000   0.083644   0.000953   0.007090   0.008043   0.000000  -0.000000   0.054910  -0.000000  -0.000000  138.8999     4.3781
   -2.000     0.000   0.127201   0.001336   0.006994   0.008330   0.000000  -0.000000   0.050046  -0.000000  -0.000000  138.8999     4.9611
   -1.500     0.000   0.170747   0.001915   0.006907   0.008822   0.000000  -0.000000   0.044850  -0.000000  -0.000000  138.8999     5.2467
   -1.000     0.000   0.214273   0.002689   0.006776   0.009465   0.000000  -0.000000   0.039310  -0.000000  -0.000000  138.8999     5.4164
   -0.500     0.000   0.257772   0.003657   0.006647   0.010304   0.000000  -0.000000   0.033439  -0.000000  -0.000000  138.8999     5.5291
    0.000     0.000   0.301234   0.004820   0.006529   0.011349   0.000000  -0.000000   0.027241  -0.000000  -0.000000  138.8999     5.6095
    0.500     0.000   0.344652   0.006177   0.006445   0.012622   0.000000  -0.000000   0.020724  -0.000000  -0.000000  138.8999     5.6700
    1.000     0.000   0.388017   0.007726   0.006411   0.014137   0.000000  -0.000000   0.013899  -0.000000  -0.000000  138.8999     5.7174
    1.500     0.000   0.431320   0.009467   0.006418   0.015886   0.000000  -0.000000   0.006761  -0.000000  -0.000000  138.8999     5.7557
    2.000     0.000   0.474554   0.011400   0.006438   0.017838   0.000000  -0.000000  -0.000694  -0.000000  -0.000000  138.8999     5.7874
    2.500     0.000   0.517710   0.013522   0.006481   0.020004   0.000000  -0.000000  -0.008462  -0.000000  -0.000000  138.8999     5.8143
    3.000     0.000   0.560779   0.015833   0.006553   0.022386   0.000000  -0.000000  -0.016537  -0.000000  -0.000000  138.8999     5.8376
    3.500     0.000   0.603754   0.018331   0.006673   0.025004   0.000000  -0.000000  -0.024913  -0.000000  -0.000000  138.8999     5.8580
    4.000     0.000   0.646626   0.021015   0.006854   0.027869   0.000000  -0.000000  -0.033581  -0.000000  -0.000000  138.8999     5.8763
    4.500     0.000   0.689388   0.023882   0.007091   0.030973   0.000000  -0.000000  -0.042542  -0.000000  -0.000000  138.8999     5.8928
    5.000     0.000   0.732030   0.026931   0.007375   0.034306   0.000000  -0.000000  -0.051793  -0.000000  -0.000000  138.8999     5.9079
    5.500     0.000   0.774546   0.030160   0.007650   0.037811   0.000000  -0.000000  -0.061350  -0.000000  -0.000000  138.8999     5.9219
    6.000     0.000   0.816926   0.033567   0.007920   0.041486   0.000000  -0.000000  -0.071208  -0.000000  -0.000000  138.8999     5.9350
    6.500     0.000   0.859164   0.037148   0.008187   0.045336   0.000000  -0.000000  -0.081363  -0.000000  -0.000000  138.8999     5.9473
    7.000     0.000   0.901252   0.040903   0.008451   0.049354   0.000000  -0.000000  -0.091814  -0.000000  -0.000000  138.8999     5.9591
    7.500     0.000   0.943180   0.044828   0.008710   0.053538   0.000000  -0.000000  -0.102557  -0.000000  -0.000000  138.8999     5.9704
    8.000     0.000   0.984943   0.048920   0.008972   0.057892   0.000000  -0.000000  -0.113586  -0.000000  -0.000000  138.8999     5.9813
    8.500     0.000   1.026532   0.053178   0.009227   0.062405   0.000000  -0.000000  -0.124902  -0.000000  -0.000000  138.8999     5.9919
    9.000     0.000   1.067939   0.057597   0.009479   0.067075   0.000000  -0.000000  -0.136500  -0.000000  -0.000000  138.8999     6.0022
    9.500     0.000   1.109158   0.062174   0.009727   0.071901   0.000000  -0.000000  -0.148376  -0.000000  -0.000000  138.8999     6.0123
   10.000     0.000   1.150181   0.066908   0.009969   0.076877   0.000000  -0.000000  -0.160528  -0.000000  -0.000000  138.8999     6.0224
   10.500     0.000   1.191000   0.071793   0.010209   0.082002   0.000000  -0.000000  -0.172951  -0.000000  -0.000000  138.8999     6.0323
   11.000     0.000   1.231609   0.076827   0.010446   0.087273   0.000000  -0.000000  -0.185642  -0.000000  -0.000000  138.8999     6.0421
   11.500     0.000   1.272000   0.082006   0.010692   0.092697   0.000000  -0.000000  -0.198593  -0.000000  -0.000000  138.8999     6.0519
   12.000     0.000   1.312166   0.087326   0.010944   0.098271   0.000000  -0.000000  -0.211800  -0.000000  -0.000000  138.8999     6.0617
   12.500     0.000   1.352101   0.092784   0.011208   0.103993   0.000000  -0.000000  -0.225258  -0.000000  -0.000000  138.8999     6.0715
   13.000     0.000   1.391798   0.098376   0.011485   0.109861   0.000000  -0.000000  -0.238963  -0.000000  -0.000000  138.8999     6.0813
   13.500     0.000   1.431249   0.104097   0.011768   0.115866   0.000000  -0.000000  -0.252912  -0.000000  -0.000000  138.8999     6.0912
   14.000     0.000   1.470449   0.109944   0.012061   0.122005   0.000000  -0.000000  -0.267100  -0.000000  -0.000000  138.8999     6.1012
   14.500     0.000   1.509391   0.115913   0.012398   0.128311   0.000000  -0.000000  -0.281510  -0.000000  -0.000000  138.8999     6.1112
